기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
더샵스토리,중소기업,서울 송파구,쇼핑몰·오픈마켓·소셜커머스,,,김병태,2007.09.02
인슈코,중소기업,서울 서초구,보험 대리 및 중개업,,,,
디엔와이,중소기업,경기 김포시,금속·재료·자재,,,,
디엔와이,중소기업,서울 성동구,광고 대행업,,,,
디엔와이,중소기업,경남 김해시,산업용 냉장 및 냉동 장비 제조업,,,,
일지테크,중견기업,경북 경산시,자동차·조선·철강·항공,,,,
한동이엔지,중소기업,경기 의정부시,건축·설비·환경,-,-,임철수,2023.11.08
성현이엔지,중소기업,충북 청주시,일반 목적용 기계 제조업,-,-,전병성,2011.01.19
이도,중소기업,경남 진주시,백화점·유통·도소매,"5,000만원",206억 8천만원,이시영,2009.06.25
이도,중소기업,영등포구 양산로,제약·보건·바이오,981만원,"9억 7,884만원",김광준,2016.11.03
이도,대기업,서울 중구,음식료·외식·프랜차이즈,"1,790억 4천만원",27조,손경식/김홍기,1953.08.01
이도,공공기관,대전 동구,철도 여객 운송업,10조 9천억원,"6조 5,281억원",한문희,2005.01.01
이도,대기업,서울 마포구,방송·케이블·프로덕션,"1,105억 7천만원","2조 7,872억원",윤상현,1994.12.16
이도,대기업,서울 중구,설탕 제조업,,,,
이도,대기업,서울 성동구,화장품 및 화장용품 도매업,,,,
이도,대기업,서울 종로구,석유 정제품 제조업,,,,
이도,대기업,서울특별시 마포구,기타 가공식품 도매업,,,,
이도,대기업,충남 서산시,그 외 자동차용 신품 부품 제조업,,,,
이에이치테크,중소기업,경기 화성시,산업처리공정 제어장비 제조업,,,,
이에이치테크,중소기업,충남 천안시,전자부품 실장기판 제조업,,,,
이에이치테크,중소기업,제주 제주시,"도배, 실내장식 및 내장 목공사업",,,,
이에이치테크,중소기업,부산 사상구,볼트 및 너트류 제조업,,,,
이에이치테크,중소기업,울산 동구,자동차·조선·철강·항공,,,,
이에이치테크,중소기업,경기 평택시,금속 절삭기계 제조업,,,,
이에이치테크,중소기업,경기 고양시,일반용 전기 조명장치 제조업,,,,
이에이치테크,중소기업,경기 수원시,기타 직물제품 제조업,,,,
이에이치테크,중소기업,경기 군포시,유선 통신장비 제조업,,,,
이에이치테크,중소기업,광주 북구,전자상거래 소매업,,,,
퓨젠,중소기업,경기 용인시,기타 반도체소자 제조업,,,,
퓨젠,중소기업,경북 상주시,식품가공,,,,
퓨젠,중소기업,서울 송파구,쇼핑몰·오픈마켓·소셜커머스,,,,
솔라원,중소기업,대구 달서구,일반전기 공사업,-,-,김민정,2017.04.12
솔라원,중소기업,대전 서구,전기·전자·제어,"1억 6,000만원",61억,조성의,2018.02.14
솔라원,중소기업,경기 용인시,건설·시공·토목·조경,5억원,20억,김종철,2004
엠엠에스테크,중소기업,충남 천안시,금속 절삭기계 제조업,,,,
엠엠에스테크,중소기업,충북 진천군,그 외 자동차용 신품 부품 제조업,,,,
엠엠에스테크,중소기업,경기 부천시,"전자기 측정, 시험 및 분석기구 제조업",,,,
엠엠에스테크,중소기업,경기 부천시,기계·기계설비,,,,
엠엠에스테크,중소기업,경기 화성시,그 외 기타 특수목적용 기계 제조업,,,,
엠엠에스테크,중소기업,경북 구미시,전기·전자·제어,,,,
엠엠에스테크,중소기업,경남 함안군,자동차·조선·철강·항공,,,,
엠엠에스테크,중소기업,경기 부천시,그 외 기타 특수목적용 기계 제조업,,,,
엠엠에스테크,중소기업,전북 전주시,일반전기 공사업,,,,
엠엠에스테크,중소기업,경기 파주시,생활용품·소비재·기타,,,,
상아테크,중견기업,인천 남동구,기계장비 조립용 플라스틱제품 제조업,79억 9천만원,"1,423억 9천만원",이상원/이상열,1986.03.21
상아테크,중소기업,경기 안양시,인형 및 장난감 제조업,"5,000만원","4억 1,386만원",김정순,1990.04.01
상아테크,중소기업,대구 서구,자동차·조선·철강·항공,1억원,40억,임상봉,2002.01.01
