기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
더샵스토리,중소기업,서울 송파구,쇼핑몰·오픈마켓·소셜커머스,,,김병태,2007.09.02
인슈코,중소기업,서울 서초구,보험 대리 및 중개업,3억원,114억 6천만원,김남옥/김종태,2007.04.12
디엔와이,중소기업,경기 김포시,금속·재료·자재,1억원,72억 8천만원,김도현,2013.04.05
디엔와이,중소기업,서울 성동구,광고 대행업,1억원,23억 6백만원,김경원,2013.01.30
디엔와이,중소기업,경남 김해시,산업용 냉장 및 냉동 장비 제조업,10억원,125억 500만원,김병현,2010.07.01
일지테크,중견기업,경북 경산시,자동차·조선·철강·항공,,,,
한동이엔지,중소기업,경기 의정부시,건축·설비·환경,-,-,임철수,2023.11.08
성현이엔지,중소기업,충북 청주시,일반 목적용 기계 제조업,-,-,전병성,2011.01.19
이도,중소기업,경남 진주시,백화점·유통·도소매,-,-,하명헌,2023.09.20
이도,중소기업,영등포구 양산로,제약·보건·바이오,-,-,류효신,1903.01.01
이도,대기업,서울 중구,음식료·외식·프랜차이즈,"1,790억 4천만원",27조,손경식/김홍기,1953.08.01
이도,공공기관,대전 동구,철도 여객 운송업,10조 9천억원,"6조 5,281억원",한문희,2005.01.01
이도,대기업,서울 마포구,방송·케이블·프로덕션,"1,105억 7천만원","2조 7,872억원",윤상현,1994.12.16
이도,대기업,서울 중구,설탕 제조업,819억 8백만원,"7조 5,982억원",손경식/강신호,2007.09.04
이도,대기업,서울 성동구,화장품 및 화장용품 도매업,108억 2천만원,"4조 7,899억원",이선정,2019.11.01
이도,대기업,서울 종로구,석유 정제품 제조업,"7,860억 1천만원","1조 8,748억원",추형욱,2007.07.03
이도,대기업,서울특별시 마포구,기타 가공식품 도매업,118억 7천만원,"2조 7,954억원",이건일,1988.12.01
이도,대기업,충남 서산시,그 외 자동차용 신품 부품 제조업,"4,094억 8천만원","8조 3,326억원",백철승,1999.12.28
이에이치테크,중소기업,경기 화성시,산업처리공정 제어장비 제조업,"1억 5,000만원",22억 6천만원,홍지수,2016.02.01
이에이치테크,중소기업,충남 천안시,전자부품 실장기판 제조업,1억원,"9억 5,874만원",이병일,2018.07.16
이에이치테크,중소기업,제주 제주시,"도배, 실내장식 및 내장 목공사업","2,000만원",7억,정훈,2017.07.10
이에이치테크,중소기업,부산 사상구,볼트 및 너트류 제조업,"5,000만원",31억 5천만원,이광훈,2012.05.01
이에이치테크,중소기업,경기 수원시,기타 직물제품 제조업,4억원,"2억 7,677만원",이종명,2004.03.01
이에이치테크,중소기업,경기 평택시,금속 절삭기계 제조업,6억원,34억 8백만원,이승정,2013.07.03
이에이치테크,중소기업,울산 동구,자동차·조선·철강·항공,-,-,이주섭,-
이에이치테크,중소기업,경기 군포시,유선 통신장비 제조업,"3,000만원","9억 2,933만원",이채원,2021.11.26
이에이치테크,중소기업,경기 고양시,일반용 전기 조명장치 제조업,"5,000만원",33억 2천만원,임연순,2013.07.19
이에이치테크,중소기업,광주 북구,전자상거래 소매업,1억원,16억 2천만원,이종화,2020.03.12
퓨젠,중소기업,경기 용인시,기타 반도체소자 제조업,"1억 5,000만원",69억 3천만원,김주택,2013.09.01
퓨젠,중소기업,경북 상주시,식품가공,10억원,30억,이인한,2006.08.01
퓨젠,중소기업,서울 송파구,쇼핑몰·오픈마켓·소셜커머스,-,-,김미선,-
솔라원,중소기업,대구 달서구,일반전기 공사업,-,-,김민정,2017.04.12
솔라원,중소기업,대전 서구,전기·전자·제어,"1억 6,000만원",61억,조성의,2018.02.14
솔라원,중소기업,경기 용인시,건설·시공·토목·조경,5억원,20억,김종철,2004
엠엠에스테크,중소기업,충남 천안시,금속 절삭기계 제조업,"6억 1,000만원",89억 2천만원,백종호,2016.12.08
엠엠에스테크,중소기업,충북 진천군,그 외 자동차용 신품 부품 제조업,"7억 7,540만원",233억 9천만원,김현석/허둘숙,2007.05.10
엠엠에스테크,중소기업,경기 부천시,"전자기 측정, 시험 및 분석기구 제조업","5,000만원",12억 1천만원,김민성,2018.03.07
엠엠에스테크,중소기업,경기 부천시,기계·기계설비,5억원,30억,황명회,2003
엠엠에스테크,중소기업,경기 화성시,그 외 기타 특수목적용 기계 제조업,,,,
엠엠에스테크,중소기업,경북 구미시,전기·전자·제어,,,,
엠엠에스테크,중소기업,경남 함안군,자동차·조선·철강·항공,,,,
엠엠에스테크,중소기업,경기 부천시,그 외 기타 특수목적용 기계 제조업,,,,
엠엠에스테크,중소기업,서울 강남구,기타 산업용 기계 및 장비 도매업,,,,
엠엠에스테크,중소기업,경기 파주시,생활용품·소비재·기타,,,,
상아테크,중견기업,인천 남동구,기계장비 조립용 플라스틱제품 제조업,,,,
상아테크,중소기업,경기 안양시,인형 및 장난감 제조업,,,,
상아테크,중소기업,대구 서구,자동차·조선·철강·항공,,,,
상아테크,중소기업,경기 화성시,금속·재료·자재,,,,
상아테크,중견기업,경기도 김포시,자동차 엔진용 신품 부품 제조업,,,,
대원농산,중소기업,경남 거창군,식품가공,,,,
대원농산,중소기업,경기 구리시,"채소류, 서류 및 향신작물류 도매업",,,,
브라토,중소기업,대구 달서구,기계·기계설비,,,,
그로스,중소기업,서울 마포구,광고·홍보·전시,,,,
그로스,중소기업,대구 동구,증권·보험·카드,,,,
그로스,중소기업,경기 수원시,기타 산업용 기계 및 장비 도매업,,,,
그로스,중소기업,경기 안양시,전자상거래 소매업,,,,
그로스,중소기업,경기 수원시,시스템 소프트웨어 개발 및 공급업,,,,
그로스,중소기업,서울 종로구,광고·홍보·전시,,,,
그로스,중소기업,서울 강남구,투자 자문업 및 투자 일임업,,,,
그로스,중소기업,경북 경산시,차류 가공업,,,,
그로스,중소기업,경기 안성시,농업 및 임업용 기계 제조업,,,,
